corp_label,entity_type,group,corp_code,corp_name,bsns_year,reprt_code,reprt_nm,accounting_std_inferred,bsis_blce_acntbk_amount,bsis_blce_qota_rt,bsis_blce_qy,corp_cls,frst_acqs_amount,frst_acqs_de,incrs_dcrs_acqs_dsps_amount,incrs_dcrs_acqs_dsps_qy,incrs_dcrs_evl_lstmn,inference_rule,inv_prm,invstmnt_purps,recent_bsns_year_fnnr_sttus_thstrm_ntpf,recent_bsns_year_fnnr_sttus_tot_assets,stlm_dt,trmend_blce_acntbk_amount,trmend_blce_qota_rt,trmend_blce_qy,value_source,source_endpoint,source_params,rcept_no,rcept_no_source,fetched_at,status,call_id,raw_path,raw_sha256,data_age_days
ABL생명보험,생보,보험자회사,00148391,에이비엘생명보험,2022,11011,사업보고서,IFRS4,"71,802,000,000",8.40,"9,559,672",E,"840,000,000",2006.01.24,"-6,272,000,000",-,"-5,352,000,000","보고서 사업연도 >= 2023 이면 IFRS17, 아니면 IFRS4",발해인프라투융자회사,단순투자,"41,891,000,000","835,872,000,000",2022-12-31,"60,178,000,000",8.40,"9,559,672",api,otrCprInvstmntSttus,"{""bsns_year"": ""2022"", ""corp_code"": ""00148391"", ""reprt_code"": ""11011""}",20230814002562,api_row,2026-08-31T16:06:45+09:00,000,run_20260831_152517_1114,raw/otrCprInvstmntSttus/00148391_2022_11011.json,465ec83e5419abcf5a299c46ae892593e520b0952c43386a8b6da5c60ba3b110,0
ABL생명보험,생보,보험자회사,00148391,에이비엘생명보험,2022,11011,사업보고서,IFRS4,"10,257,000,000",2.78,"1,831,035",E,"2,639,000,000",2007.09.17,"-910,000,000",-,"-374,000,000","보고서 사업연도 >= 2023 이면 IFRS17, 아니면 IFRS4",한국비티엘일호투융자회사,단순투자,"5,687,000,000","311,020,000,000",2022-12-31,"8,973,000,000",2.78,"1,831,035",api,otrCprInvstmntSttus,"{""bsns_year"": ""2022"", ""corp_code"": ""00148391"", ""reprt_code"": ""11011""}",20230814002562,api_row,2026-08-31T16:06:45+09:00,000,run_20260831_152517_1114,raw/otrCprInvstmntSttus/00148391_2022_11011.json,465ec83e5419abcf5a299c46ae892593e520b0952c43386a8b6da5c60ba3b110,0
ABL생명보험,생보,보험자회사,00148391,에이비엘생명보험,2022,11011,사업보고서,IFRS4,"221,466,000,000",3.89,"15,762,689",E,"136,000,000",2008.10.16,"-119,717,000,000","10,414,856","-42,655,000,000","보고서 사업연도 >= 2023 이면 IFRS17, 아니면 IFRS4",Macquarie Korea Infrastructure Fund,단순투자,"315,176,000,000","3,048,090,000,000",2022-12-31,"59,094,000,000",1.32,"5,347,833",api,otrCprInvstmntSttus,"{""bsns_year"": ""2022"", ""corp_code"": ""00148391"", ""reprt_code"": ""11011""}",20230814002562,api_row,2026-08-31T16:06:45+09:00,000,run_20260831_152517_1114,raw/otrCprInvstmntSttus/00148391_2022_11011.json,465ec83e5419abcf5a299c46ae892593e520b0952c43386a8b6da5c60ba3b110,0
ABL생명보험,생보,보험자회사,00148391,에이비엘생명보험,2022,11011,사업보고서,IFRS4,"303,524,000,000",-,"27,153,396",E,-,-,"-126,899,000,000","10,414,856","-48,381,000,000","보고서 사업연도 >= 2023 이면 IFRS17, 아니면 IFRS4",합계,-,-,-,2022-12-31,"128,244,000,000",-,"16,738,540",api,otrCprInvstmntSttus,"{""bsns_year"": ""2022"", ""corp_code"": ""00148391"", ""reprt_code"": ""11011""}",20230814002562,api_row,2026-08-31T16:06:45+09:00,000,run_20260831_152517_1114,raw/otrCprInvstmntSttus/00148391_2022_11011.json,465ec83e5419abcf5a299c46ae892593e520b0952c43386a8b6da5c60ba3b110,0
ABL생명보험,생보,보험자회사,00148391,에이비엘생명보험,2023,11011,사업보고서,IFRS17,"60,178,000,000",8.40,"9,559,672",E,"840,000,000",2006.01.24,"-719,000,000",-,"-2,342,000,000","보고서 사업연도 >= 2023 이면 IFRS17, 아니면 IFRS4",발해인프라투융자회사,단순투자,"80,477,000,000","869,526,000,000",2023-12-31,"57,116,000,000",8.40,"9,559,672",api,otrCprInvstmntSttus,"{""bsns_year"": ""2023"", ""corp_code"": ""00148391"", ""reprt_code"": ""11011""}",20240430000559,api_row,2026-08-31T16:06:55+09:00,000,run_20260831_152517_1123,raw/otrCprInvstmntSttus/00148391_2023_11011.json,a83f2dbadf49c693340cbdfc5a9a53d3db7ff29ffbd37a90e4374bc38644d278,0
ABL생명보험,생보,보험자회사,00148391,에이비엘생명보험,2023,11011,사업보고서,IFRS17,"8,973,000,000",2.78,"1,831,035",E,"2,639,000,000",2007.09.17,"-937,000,000",-,"393,000,000","보고서 사업연도 >= 2023 이면 IFRS17, 아니면 IFRS4",한국비티엘일호투융자회사,단순투자,"2,604,000,000","276,952,000,000",2023-12-31,"8,430,000,000",2.78,"1,831,035",api,otrCprInvstmntSttus,"{""bsns_year"": ""2023"", ""corp_code"": ""00148391"", ""reprt_code"": ""11011""}",20240430000559,api_row,2026-08-31T16:06:55+09:00,000,run_20260831_152517_1123,raw/otrCprInvstmntSttus/00148391_2023_11011.json,a83f2dbadf49c693340cbdfc5a9a53d3db7ff29ffbd37a90e4374bc38644d278,0
ABL생명보험,생보,보험자회사,00148391,에이비엘생명보험,2023,11011,사업보고서,IFRS17,"59,094,000,000",1.32,"5,347,833",E,"136,000,000",2008.10.16,"-59,094,000,000","5,347,833",-,"보고서 사업연도 >= 2023 이면 IFRS17, 아니면 IFRS4",Macquarie Korea Infrastructure Fund,단순투자,-,-,2023-12-31,-,-,-,api,otrCprInvstmntSttus,"{""bsns_year"": ""2023"", ""corp_code"": ""00148391"", ""reprt_code"": ""11011""}",20240430000559,api_row,2026-08-31T16:06:55+09:00,000,run_20260831_152517_1123,raw/otrCprInvstmntSttus/00148391_2023_11011.json,a83f2dbadf49c693340cbdfc5a9a53d3db7ff29ffbd37a90e4374bc38644d278,0
ABL생명보험,생보,보험자회사,00148391,에이비엘생명보험,2023,11011,사업보고서,IFRS17,"128,244,000,000",-,"16,738,540",E,-,-,"-60,749,000,000","5,347,833","-1,949,000,000","보고서 사업연도 >= 2023 이면 IFRS17, 아니면 IFRS4",합계,-,-,-,2023-12-31,"65,546,000,000",-,"11,390,707",api,otrCprInvstmntSttus,"{""bsns_year"": ""2023"", ""corp_code"": ""00148391"", ""reprt_code"": ""11011""}",20240430000559,api_row,2026-08-31T16:06:55+09:00,000,run_20260831_152517_1123,raw/otrCprInvstmntSttus/00148391_2023_11011.json,a83f2dbadf49c693340cbdfc5a9a53d3db7ff29ffbd37a90e4374bc38644d278,0
ABL생명보험,생보,보험자회사,00148391,에이비엘생명보험,2024,11011,사업보고서,IFRS17,"57,116,000,000",8.40,"9,559,672",E,"840,000,000",2006.01.24,"-57,116,000,000","-9,559,672",-,"보고서 사업연도 >= 2023 이면 IFRS17, 아니면 IFRS4",발해인프라투융자회사(비상장),단순투자,-,-,2024-12-31,-,-,-,api,otrCprInvstmntSttus,"{""bsns_year"": ""2024"", ""corp_code"": ""00148391"", ""reprt_code"": ""11011""}",20250514001000,api_row,2026-08-31T16:07:23+09:00,000,run_20260831_152517_1132,raw/otrCprInvstmntSttus/00148391_2024_11011.json,534c9d6b500d515422f85c1e2d9319cc7e64174e13c45bdb26b17e2be2710001,0
ABL생명보험,생보,보험자회사,00148391,에이비엘생명보험,2024,11011,사업보고서,IFRS17,-,-,-,E,-,2024.11.29,"37,971,000,000","5,735,804","6,539,000,000","보고서 사업연도 >= 2023 이면 IFRS17, 아니면 IFRS4",발해인프라투융자회사(상장),단순투자,"52,565,000,000","1,004,656,000,000",2024-12-31,"44,510,000,000",8.40,"5,735,804",api,otrCprInvstmntSttus,"{""bsns_year"": ""2024"", ""corp_code"": ""00148391"", ""reprt_code"": ""11011""}",20250514001000,api_row,2026-08-31T16:07:23+09:00,000,run_20260831_152517_1132,raw/otrCprInvstmntSttus/00148391_2024_11011.json,534c9d6b500d515422f85c1e2d9319cc7e64174e13c45bdb26b17e2be2710001,0
