corp_label,entity_type,group,corp_code,corp_name,bsns_year,reprt_code,reprt_nm,accounting_std_inferred,corp_cls,inference_rule,remndr_exprtn1,remndr_exprtn2,sm,stlm_dt,value_source,yy10_excess,yy1_below,yy1_excess_yy2_below,yy2_excess_yy3_below,yy3_excess_yy4_below,yy4_excess_yy5_below,yy5_excess_yy10_below,source_endpoint,source_params,rcept_no,rcept_no_source,fetched_at,status,call_id,raw_path,raw_sha256,data_age_days
ABL생명보험,생보,보험자회사,00148391,에이비엘생명보험,2025,11011,사업보고서,IFRS17,E,"보고서 사업연도 >= 2023 이면 IFRS17, 아니면 IFRS4",미상환잔액,사모,-,2025-12-31,api,-,-,-,-,-,-,-,cprndNrdmpBlce,"{""bsns_year"": ""2025"", ""corp_code"": ""00148391"", ""reprt_code"": ""11011""}",20260331003080,api_row,2026-08-31T16:07:42+09:00,000,run_20260831_152517_1143,raw/cprndNrdmpBlce/00148391_2025_11011.json,7ec06e8e35d4e8d4a2f6099ca5965c8b541e083e5242c7ba910b93c05d95e516,0
ABL생명보험,생보,보험자회사,00148391,에이비엘생명보험,2025,11011,사업보고서,IFRS17,E,"보고서 사업연도 >= 2023 이면 IFRS17, 아니면 IFRS4",미상환잔액,합계,"643,000,000,000",2025-12-31,api,-,-,-,-,-,-,"643,000,000,000",cprndNrdmpBlce,"{""bsns_year"": ""2025"", ""corp_code"": ""00148391"", ""reprt_code"": ""11011""}",20260331003080,api_row,2026-08-31T16:07:42+09:00,000,run_20260831_152517_1143,raw/cprndNrdmpBlce/00148391_2025_11011.json,7ec06e8e35d4e8d4a2f6099ca5965c8b541e083e5242c7ba910b93c05d95e516,0
ABL생명보험,생보,보험자회사,00148391,에이비엘생명보험,2025,11012,반기보고서,IFRS17,E,"보고서 사업연도 >= 2023 이면 IFRS17, 아니면 IFRS4",미상환잔액,공모,"643,000,000,000",2025-06-30,api,-,-,-,-,-,-,"643,000,000,000",cprndNrdmpBlce,"{""bsns_year"": ""2025"", ""corp_code"": ""00148391"", ""reprt_code"": ""11012""}",20250829002137,api_row,2026-08-31T16:08:06+09:00,000,run_20260831_152517_1152,raw/cprndNrdmpBlce/00148391_2025_11012.json,cb1c1961c917829667af78a6d915e9b1222ba1d6d826a924ab03edf065336712,0
ABL생명보험,생보,보험자회사,00148391,에이비엘생명보험,2025,11012,반기보고서,IFRS17,E,"보고서 사업연도 >= 2023 이면 IFRS17, 아니면 IFRS4",미상환잔액,사모,-,2025-06-30,api,-,-,-,-,-,-,-,cprndNrdmpBlce,"{""bsns_year"": ""2025"", ""corp_code"": ""00148391"", ""reprt_code"": ""11012""}",20250829002137,api_row,2026-08-31T16:08:06+09:00,000,run_20260831_152517_1152,raw/cprndNrdmpBlce/00148391_2025_11012.json,cb1c1961c917829667af78a6d915e9b1222ba1d6d826a924ab03edf065336712,0
ABL생명보험,생보,보험자회사,00148391,에이비엘생명보험,2025,11012,반기보고서,IFRS17,E,"보고서 사업연도 >= 2023 이면 IFRS17, 아니면 IFRS4",미상환잔액,합계,"643,000,000,000",2025-06-30,api,-,-,-,-,-,-,"643,000,000,000",cprndNrdmpBlce,"{""bsns_year"": ""2025"", ""corp_code"": ""00148391"", ""reprt_code"": ""11012""}",20250829002137,api_row,2026-08-31T16:08:06+09:00,000,run_20260831_152517_1152,raw/cprndNrdmpBlce/00148391_2025_11012.json,cb1c1961c917829667af78a6d915e9b1222ba1d6d826a924ab03edf065336712,0
ABL생명보험,생보,보험자회사,00148391,에이비엘생명보험,2026,11012,반기보고서,IFRS17,E,"보고서 사업연도 >= 2023 이면 IFRS17, 아니면 IFRS4",미상환잔액,공모,"643,000,000,000",2026-06-30,api,-,-,-,-,-,-,"643,000,000,000",cprndNrdmpBlce,"{""bsns_year"": ""2026"", ""corp_code"": ""00148391"", ""reprt_code"": ""11012""}",20260831000754,api_row,2026-08-31T16:08:30+09:00,000,run_20260831_152517_1161,raw/cprndNrdmpBlce/00148391_2026_11012.json,c0fe1bfb50200a8d2e05717f37c7d282bb815dea906d5c1daa30561c35da05bb,0
ABL생명보험,생보,보험자회사,00148391,에이비엘생명보험,2026,11012,반기보고서,IFRS17,E,"보고서 사업연도 >= 2023 이면 IFRS17, 아니면 IFRS4",미상환잔액,사모,-,2026-06-30,api,-,-,-,-,-,-,-,cprndNrdmpBlce,"{""bsns_year"": ""2026"", ""corp_code"": ""00148391"", ""reprt_code"": ""11012""}",20260831000754,api_row,2026-08-31T16:08:30+09:00,000,run_20260831_152517_1161,raw/cprndNrdmpBlce/00148391_2026_11012.json,c0fe1bfb50200a8d2e05717f37c7d282bb815dea906d5c1daa30561c35da05bb,0
ABL생명보험,생보,보험자회사,00148391,에이비엘생명보험,2026,11012,반기보고서,IFRS17,E,"보고서 사업연도 >= 2023 이면 IFRS17, 아니면 IFRS4",미상환잔액,합계,"643,000,000,000",2026-06-30,api,-,-,-,-,-,-,"643,000,000,000",cprndNrdmpBlce,"{""bsns_year"": ""2026"", ""corp_code"": ""00148391"", ""reprt_code"": ""11012""}",20260831000754,api_row,2026-08-31T16:08:30+09:00,000,run_20260831_152517_1161,raw/cprndNrdmpBlce/00148391_2026_11012.json,c0fe1bfb50200a8d2e05717f37c7d282bb815dea906d5c1daa30561c35da05bb,0
KB금융,지주,지주,00688996,KB금융,2015,11011,사업보고서,IFRS4,Y,"보고서 사업연도 >= 2023 이면 IFRS17, 아니면 IFRS4",미상환잔액,공모,"30,509,340,000,000",2015-12-31,api,"170,000,000,000","9,831,956,000,000","7,978,660,000,000","4,677,784,000,000","1,045,000,000,000","3,656,000,000,000","3,150,000,000,000",cprndNrdmpBlce,"{""bsns_year"": ""2015"", ""corp_code"": ""00688996"", ""reprt_code"": ""11011""}",20160330004428,api_row,2026-08-31T15:35:32+09:00,000,run_20260831_152517_0249,raw/cprndNrdmpBlce/00688996_2015_11011.json,c33ee5a415e940f56efbf58dbe0d148741c809034acf9c93f86ac3e09aee3f29,0
KB금융,지주,지주,00688996,KB금융,2015,11011,사업보고서,IFRS4,Y,"보고서 사업연도 >= 2023 이면 IFRS17, 아니면 IFRS4",미상환잔액,사모,"1,107,461,000,000",2015-12-31,api,-,"697,261,000,000","293,000,000,000","117,200,000,000",-,-,-,cprndNrdmpBlce,"{""bsns_year"": ""2015"", ""corp_code"": ""00688996"", ""reprt_code"": ""11011""}",20160330004428,api_row,2026-08-31T15:35:32+09:00,000,run_20260831_152517_0249,raw/cprndNrdmpBlce/00688996_2015_11011.json,c33ee5a415e940f56efbf58dbe0d148741c809034acf9c93f86ac3e09aee3f29,0
